startup_name,subsector,amount_raised,funding_stage,source_url,source_site,lead_investor,null as funding stage is not specified in the article.  ,other_investors
Joby,Clean Transport 2,Not Specified,Series (?),https://cleantechnica.com/2024/10/07/toyota-puts-nearly-1-billion-into-electric-aviation-startup/,CleanTechnica,Toyota Motor Corporation,-1,Not Specified
Quidnet Energy,Clean Power,Not Specified,Not Specified,https://cleantechnica.com/2024/05/30/energy-storage-pumped-hydro-texas-startup-investor/,CleanTechnica,Not Specified,,"['Hunt Energy Network', 'US Department of Energy (ARPA-E office)']"
Yellow,Clean Power, $14 million,Series B,https://cleantechnica.com/2023/07/20/solar-startup-yellow-raises-14-million-to-scale-up-in-africa/,CleanTechnica,Convergence Partners,,Not Specified
TerraPower,Deal from Newsletter, $650m,Growth,"Bill Gates, HD Hyundai, NVentures","['Bill Gates', 'HD Hyundai', 'NVentures']",https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Coco Robotics,Deal from Newsletter, $80m,Series B,Deepwater Asset Management,"['Offline Ventures', 'Outlander Fund I Archimedes', 'Pelion Venture Partners', 'SNR']",https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Pano,Deal from Newsletter, $44m,Series B,Giant Ventures,"['Congruent Ventures', 'Initialized Capital', 'Liberty Mutual Strategic Ventures', 'Salesforce Ventures']",https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
HYMETH,Deal from Newsletter,4m,Seed,FAM AB,['Antler'],https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Light Bridge,Deal from Newsletter, $3m,Series A,Anda Asia Ventures,"['Magna Investment', 'Ubiquoss Investment']",https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
captoplastic,Deal from Newsletter,2m,Series A,BeAble Capital,Not Specified,https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Xatoms,Deal from Newsletter, $2m,Pre-seed,Quantacet,"['BDC Capital', 'BoxOne Ventures', 'Genesis Ventures', 'League of Innovators']",https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Oklo,Deal from Newsletter, $460m,Post-IPO Equity,Not Specified,Not Specified,https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
AMEA Power,Deal from Newsletter, $72m,Project Finance Debt,International Finance Corporation (IFC),Not Specified,https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Intelligent Energy,Deal from Newsletter,23m,Grant,Aerospace Technology Institute (ATI),"['Department for Business and Trade(DBT)', 'Innovate UK']",https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Polestar,Deal from Newsletter, $200m,Post-IPO Equity,PSD Investment,Not Specified,https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Minesto,Deal from Newsletter,2m,Post-IPO Debt,Fenja Capital,Not Specified,https://www.ctvc.co/epa-puts-corn-on-the-policy-menu-251/,CTVC
Xoople,Deal from Newsletter,129m,Growth,AXIS Participaciones Empresariales,['CDTI'],https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Saildrone,Deal from Newsletter, $60m,Growth,Export and Investment Fund of Denmark (EIFO),"['Academy Securities', 'BZH Capital', 'Calm Ventures', 'Crowley']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Zeno Power,Deal from Newsletter, $50m,Series B,Hanaco Venture Capital,"['7i Capital', 'Balerion Space', 'Beyond Earth Ventures', 'Jaws Ventures', 'other investors']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Neptune Robotics,Deal from Newsletter, $50m,Growth,Sequoia Capital China,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Hystar,Deal from Newsletter, $36m,Series C,AP Ventures,"['Finindus', 'Firda', 'MOL switch', 'Nippon Steel Trading']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
VFlowTech,Deal from Newsletter, $21m,Growth,Granite Asia,"['Antares Ventures', 'EDBI', 'Entrepreneur First', 'MOL PLUS']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
âš¡Realta Fusion,Deal from Newsletter, $36m,Series A,Future Ventures,"['Avila VC', 'GSBackers', 'Khosla Ventures', 'Mayfield']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Solestial,Deal from Newsletter,17m,Series A,AE Ventures,"['Airbus Ventures', 'Crosscut Ventures', 'General Purpose Venture Capital (GPVC)', 'Industrious Ventures']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Rekosistem,Deal from Newsletter,7m,Series A,K3 Ventures,"['Saratoga Investama Sedaya', 'AppWorks', 'Bali Investment Club (BIC)', 'Orvel Ventures']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Veritree,Deal from Newsletter,7m,Series A,Pender Ventures,"['Diagram Ventures', 'Garage Capital', 'Northside Ventures']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Verdi,Deal from Newsletter,7m,Seed,SVG Ventures,"['Ponderosa Ventures', 'Elemental Impact', 'GenomeBC', 'One Small Planet']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Riverse,Deal from Newsletter,6m,Seed,Alven,"['K Fund', 'Makesense', 'Serena Capital', 'Speedinvest']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Bovotica,Deal from Newsletter, $3m,Seed,Not Specified,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Zendo Energy,Deal from Newsletter,2m,Pre-seed,Fly Ventures,"['Octopus Ventures', 'Pact VC']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Voltra,Deal from Newsletter, $2m ,Not Specified,Not Specified,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Eku Energy,Deal from Newsletter, $60m,PF Debt,NatWest,['Sumitomo Mitsui Banking Corporation'],https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Foodiq,Deal from Newsletter, $11m,Corporate Strategic,Not Specified,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Calefa,Deal from Newsletter,8m,PE Expansion,Evli Private Capital,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
